Project	Language Code	Prefix	Edits	Editors	Pages	Bytes removed (30d)	Bytes added (30d)	Avg monthly edits	Avg monthly editors
Wikipedia	snd	Wp/snd	12	5	0	0	1	1	1
Wikivoyage	ryu	Wy/ryu	308	15	0	0	110	1	1
Wikipedia	tig	Wp/tig	330	6	0	0	79	4	1
Wikipedia	udi	Wp/udi	51	23	0	0	8	1	1
Wikipedia	yai	Wp/yai	902	48	0	0	270	19	1
Wikipedia	gdo	Wp/gdo	218	19	0	0	72	7	1
Wikiquote	khw	Wq/khw	42	8	0	0	16	6	1
Wikipedia	ibb	Wp/ibb	971	29	0	0	203	2	1
Wiktionary	aer	Wt/aer	72	1	0	0	30	50	1
Wikibooks	or	Wb/or	308	15	0	0	6	2	1
Wiktionary	jkr	Wt/jkr	14	1	0	0	14	14	1
Wikinews	am	Wn/am	21	7	0	0	3	2	1
Wikipedia	mui	Wp/mui	1651	41	0	0	244	2	1
Wikinews	hnd	Wn/hnd	14	5	0	0	4	1	1
Wikinews	or	Wn/or	92	8	0	0	31	1	1
Wikivoyage	ba	Wy/ba	418	15	70	0	54	1	1
Wikipedia	rut	Wp/rut	101	25	0	0	14	1	1
Wikipedia	smj	Wp/smj	266	19	0	0	66	2	1
Wikipedia	taj	Wp/taj	287	20	0	0	100	1	1
Wikipedia	chb	Wp/chb	483	9	0	0	69	1	1
Wikipedia	txn	Wp/txn	1	1	108	0	1	1	1
Wikipedia	xmm	Wp/xmm	457	26	0	0	126	2	1
Wikiquote	jv	Wq/jv	265	15	0	0	171	1	1
Wikipedia	hrx	Wp/hrx	2729	37	2057	0	392	4	1
Wikiquote	ps	Wq/ps	368	30	0	0	147	4	1
Wikipedia	jra	Wp/jra	1	1	0	0	1	1	1
Wiktionary	ab	Wt/ab	125	17	181	0	80	2	1
Wikipedia	kru	Wp/kru	16	3	0	0	6	1	1
Wikipedia	lus	Wp/lus	3686	85	346	-352	755	1	1
Wiktionary	igl	Wt/igl	17	3	1085	-38	9	1	1
Wikibooks	yo	Wb/yo	7	4	0	0	5	1	1
Wiktionary	mh	Wt/mh	1579	7	993	0	677	14	1
Wikinews	fur	Wn/fur	6	3	0	0	3	3	1
Wiktionary	ssf	Wt/ssf	1853	13	0	-73	1453	1	1
Wikinews	ne	Wn/ne	853	26	0	0	194	2	1
Wikipedia	pcc	Wp/pcc	34	13	0	0	8	3	1
Wikivoyage	as	Wy/as	13	5	0	0	4	2	1
Wikipedia	rmq	Wp/rmq	65	5	1280	-129	10	25	1
Wikivoyage	mnc	Wy/mnc	7	4	0	0	1	1	1
Wikipedia	bhb	Wp/bhb	7	4	0	0	3	1	1
Wikipedia	sxu	Wp/sxu	178	34	0	0	31	3	1
Wikivoyage	yi	Wy/yi	16	4	0	0	5	2	1
Wikipedia	bzs	Wp/bzs	254	28	4524	0	13	4	1
Wikipedia	fit	Wp/fit	11009	85	10753	-356	1845	73	1
Wikiquote	grc	Wq/grc	409	19	0	0	56	1	1
Wikiquote	ast	Wq/ast	257	26	0	0	42	5	1
Wikipedia	hil	Wp/hil	8244	79	8088	-117	2145	1	1
Wikiquote	olo	Wq/olo	1	1	0	0	1	1	1
Wikipedia	jkr	Wp/jkr	15	1	778	0	13	15	1
Wikiquote	wuu	Wq/wuu	33	10	0	0	10	1	1
Wikibooks	bcc	Wb/bcc	14	6	0	0	5	1	1
Wikibooks	mnc	Wb/mnc	114	7	0	0	38	9	1
Wikibooks	uz	Wb/uz	35	16	0	0	14	1	1
Wikipedia	mnp	Wp/mnp	1037	34	0	0	368	2	1
Wiktionary	sgh	Wt/sgh	2	1	0	0	1	2	1
Wikipedia	otk	Wp/otk	11	5	0	0	1	1	1
Wikivoyage	acm	Wy/acm	2	1	3841	0	1	2	1
Wikinews	tl	Wn/tl	470	29	0	0	94	1	1
Wikipedia	aln	Wp/aln	592	51	0	0	130	2	1
Wikivoyage	lt	Wy/lt	91	13	18	0	22	5	1
Wikipedia	surzh	Wp/surzh	99	18	0	0	1	1	1
Wikipedia	btz	Wp/btz	151	23	27	-10	26	5	1
Wikipedia	tmz	Wp/tmz	8	3	0	0	1	1	1
Wikipedia	cps	Wp/cps	726	29	20	0	123	1	1
Wikipedia	wbl	Wp/wbl	121	22	238	0	54	1	1
Wikipedia	ett	Wp/ett	10	5	0	0	1	1	1
Wikiquote	dtp	Wq/dtp	7	3	0	0	3	1	1
Wikiquote	ain	Wq/ain	11	4	0	0	3	3	1
Wikipedia	haa	Wp/haa	7	2	0	0	6	1	1
Wikiquote	my	Wq/my	337	12	0	0	114	1	1
Wikiquote	tk	Wq/tk	4	3	0	0	3	2	1
Wiktionary	av	Wt/av	72	15	0	0	24	1	1
Wikipedia	lkt	Wp/lkt	1467	68	4	0	321	1	1
Wiktionary	frp	Wt/frp	916	10	0	0	255	11	1
Wikibooks	snd	Wb/snd	2	1	0	0	2	2	1
Wiktionary	kri	Wt/kri	24	2	0	0	13	8	1
Wikinews	be	Wn/be	806	20	0	0	393	6	1
Wikipedia	nd	Wp/nd	374	40	43	0	84	2	1
Wiktionary	rut	Wt/rut	2	1	0	0	1	2	1
Wikinews	ky	Wn/ky	29	10	0	0	7	3	1
Wiktionary	za	Wt/za	604	38	0	0	177	1	1
Wikinews	sva	Wn/sva	2	2	0	0	1	1	1
Wikipedia	ses	Wp/ses	33	7	0	0	17	1	1
Wikivoyage	ku	Wy/ku	43	11	0	0	9	1	1
Wikipedia	ber	Wp/ber	20	10	0	0	1	5	1
Wikivoyage	su	Wy/su	86	8	0	0	35	3	1
Wikipedia	tlh	Wp/tlh	19	8	0	0	2	2	1
Wikipedia	cmn	Wp/cmn	65	27	0	0	3	1	1
Wikipedia	ess	Wp/ess	223	38	0	0	76	1	1
Wikipedia	zmi	Wp/zmi	24	4	1558	0	5	2	1
Wikiquote	mni	Wq/mni	48	8	0	0	10	5	1
Wikipedia	ist	Wp/ist	117	19	0	0	26	1	1
Wikiquote	sva	Wq/sva	4	2	0	0	3	1	1
Wikibooks	am	Wb/am	12	5	0	0	5	4	1
Wiktionary	aqc	Wt/aqc	1	1	0	0	1	1	1
Wikibooks	lad	Wb/lad	728	17	0	0	353	7	1
Wikipedia	liv	Wp/liv	10055	117	0	0	1092	1	1
Wiktionary	dng	Wt/dng	1	1	0	0	1	1	1
Wikibooks	sd	Wb/sd	67	13	0	0	15	2	1
Wikipedia	mic	Wp/mic	1566	33	19	0	295	1	1
Wiktionary	kge	Wt/kge	88	5	0	0	27	15	1
Wikipedia	myr	Wp/myr	9	3	0	0	3	1	1
Wiktionary	pag	Wt/pag	2406	8	0	0	2345	1	1
Wikipedia	oaa	Wp/oaa	475	17	0	0	65	1	1
Wiktionary	wuu	Wt/wuu	71267	36	0	0	34414	59	1
Wikipedia	pua	Wp/pua	115	16	22	0	17	1	1
Wikivoyage	bxr	Wy/bxr	4	2	0	0	2	2	1
Wikipedia	aeb	Wp/aeb	402	44	43	0	102	1	1
Wikivoyage	kk	Wy/kk	57	8	0	0	19	1	1
Wikipedia	brx	Wp/brx	1705	42	0	0	613	1	1
Wikipedia	tin	Wp/tin	33	20	0	0	9	1	1
Wikipedia	ckt	Wp/ckt	2804	75	0	0	577	2	1
Wikipedia	ulc	Wp/ulc	42	9	0	0	6	1	1
Wikipedia	yrk	Wp/yrk	850	67	0	0	138	1	1
Wikipedia	gil	Wp/gil	337	24	0	0	61	1	1
Wiktionary	ain	Wt/ain	98	6	0	-10	14	1	1
